"","taxonomy_id","Perct","Reads","Specific_reads","Level","Taxa_names","species","Kingdom","Gram+/-","菌属中文名","菌种中文名","名词解释"
"121",1069201,0.00788436268068331,36,36,"S","Aspergillus luchuensis","Aspergillus luchuensis","Eukaryota",NA,NA,NA,NA
"122",1196083,0.000982007095793208,31,31,"S","Snodgrassella alvi","Snodgrassella alvi","Bacteria","0","0","0","无人类致病性报道。"
"123",1220207,0.00328515111695138,15,15,"S","Aspergillus puulaauensis","Aspergillus puulaauensis","Eukaryota",NA,NA,NA,NA
"124",1266052,0.000696908261530664,22,22,"S","Psychrosphaera aestuarii","Psychrosphaera aestuarii","Bacteria",NA,NA,NA,NA
"125",1324352,0.000443487075519513,14,14,"S","Chryseobacterium gallinarum","Chryseobacterium gallinarum","Bacteria","G-","金黄杆菌属","","金黄杆菌属菌种，在德国从鸡中分离出来，革兰阴性，棒状。"
"126",1470200,0.0010136847440446,32,32,"S","Neisseria arctica","Neisseria arctica","Bacteria",NA,NA,NA,NA
"127",1528099,0.00148884946781551,47,47,"S","Lawsonella clevelandensis","Lawsonella clevelandensis","Bacteria","G+","0","0","从人类脓肿中分离出的革兰氏阳性,厌氧多形性细菌。"
"128",1585976,0.000443487075519513,14,14,"S","Bergeyella cardium","Bergeyella cardium","Bacteria",NA,NA,NA,NA
"129",1720344,0.00722250380131779,228,228,"S","Psychrobacter sp. AntiMn-1","Psychrobacter sp. AntiMn-1","Bacteria","G-","嗜冷杆菌属","0","0"
"130",1734106,0.00854139290407359,39,39,"S","Kwoniella shandongensis","Kwoniella shandongensis","Eukaryota",NA,NA,NA,NA
"131",1758194,0.000443487075519513,14,14,"S","Achromobacter sp. AONIH1","Achromobacter sp. AONIH1","Bacteria",NA,NA,NA,NA
"132",1979527,0.00376964014191586,119,119,"S","Corynebacterium kefirresidentii","Corynebacterium kefirresidentii","Bacteria",NA,NA,NA,NA
"133",2004710,0.0020273694880892,64,64,"S","Cloacibacterium caeni","Cloacibacterium caeni","Bacteria",NA,NA,NA,NA
"134",2017486,0.00126710593005575,40,40,"S","Nocardioides sp. S5","Nocardioides sp. S5","Bacteria",NA,NA,NA,NA
"135",2020962,0.0275952693823916,126,126,"S","Malassezia vespertilionis","Malassezia vespertilionis","Eukaryota",NA,NA,NA,NA
"136",2202825,0.00126710593005575,40,40,"S","Methylobacterium durans","Methylobacterium durans","Bacteria",NA,NA,NA,NA
"137",2202828,0.00177394830207805,56,56,"S","Methylobacterium radiodurans","Methylobacterium radiodurans","Bacteria",NA,NA,NA,NA
"138",2487072,0.000791941206284845,25,25,"S","Epilithonimonas vandammei","Epilithonimonas vandammei","Bacteria",NA,NA,NA,NA
"139",2559073,0.00145717181956412,46,46,"S","Cutibacterium modestum","Cutibacterium modestum","Bacteria",NA,NA,NA,NA
"140",2589076,0.00259756715661429,82,82,"S","Paracoccus sp. AK26","Paracoccus sp. AK26","Bacteria",NA,NA,NA,NA
"141",2598453,0.00161556006082108,51,51,"S","Streptococcus sp. 116-D4","Streptococcus sp. 116-D4","Bacteria",NA,NA,NA,NA
"142",2707174,0.00148884946781551,47,47,"S","Enterobacter sp. T2","Enterobacter sp. T2","Bacteria",NA,NA,NA,NA
"143",2732163,0.000443487075519513,14,14,"S","Limnobacter profundi","Limnobacter sp. SAORIC-580","Bacteria",NA,NA,NA,NA
"144",2754726,0.00107704004054739,34,34,"S","Corynebacterium haemomassiliense","Corynebacterium haemomassiliense","Bacteria",NA,NA,NA,NA
"145",2760307,0.00167891535732387,53,53,"S","Paracoccus sp. MC1862","Paracoccus sp. MC1862","Bacteria",NA,NA,NA,NA
"146",2760308,0.00041180942726812,13,13,"S","Propioniciclava sp. MC1595","Propioniciclava sp. MC1595","Bacteria",NA,NA,NA,NA
"147",2913503,0.00421312721743538,133,133,"S","Corynebacterium marquesiae","Corynebacterium marquesiae","Bacteria",NA,NA,NA,NA
"148",2937788,0.00110871768879878,35,35,"S","Sphingomonas sp. SUN019","Sphingomonas sp. SUN019","Bacteria",NA,NA,NA,NA
"149",2984843,0.00424480486568677,134,134,"S","Methylobacterium flocculans","Methylobacterium sp. FF17","Bacteria",NA,NA,NA,NA
"150",3017361,0.000633552965027876,20,20,"S","Corynebacterium sp. SCR221107","Corynebacterium sp. SCR221107","Bacteria",NA,NA,NA,NA
"151",3064892,0.00294602128737962,93,93,"S","Psychrobacter sp. van23A","Psychrobacter sp. van23A","Bacteria",NA,NA,NA,NA
"152",10760,0.000118684970526566,6,6,"S1","Escherichia phage T7","Teseptimavirus T7","Viruses",NA,NA,NA,NA
"153",10863,9.89041421054714e-05,5,5,"S1","Enterobacteria phage f1","Inovirus M13","Viruses","vir",NA,"噬菌体","0"
"154",11029,1.97808284210943e-05,1,1,"S","Ross River virus","Ross River virus","Viruses","vir",NA,"罗斯河病毒","罗斯河病毒病，曾被称为“流行性多关节炎”，症状包括关节酸痛、发烧、皮疹和疲劳。目前还未有人因感染这种病毒死亡，但感染者可能持续数月极度虚弱，极个别患者的症状甚至会持续数年。"
"155",12239,1.97808284210943e-05,1,1,"S","Pepper mild mottle virus","Pepper mild mottle virus","Viruses","vir",NA,"0","0"
"156",37124,0.999050520235787,50506,50506,"S","Chikungunya virus","Chikungunya virus","Viruses","vir",NA,"基孔肯雅病毒","基孔肯雅热是由基孔肯雅病毒（CHIKV）引起，经伊蚊传播，以发热、皮疹及关节疼痛为主要特征的急性传染病。1952年首次在坦桑尼亚证实了基孔肯雅热流行，1956年分离到病毒。本病主要流行于非洲和东南亚地区，近年在印度洋地区造成了大规模流行。"
"157",42478,1.97808284210943e-05,1,1,"S1","Saccharomyces cerevisiae virus L-BC (La)","Saccharomyces cerevisiae virus LBCLa","Viruses","vir",NA,"0","0"
"158",59305,1.97808284210943e-05,1,1,"S","Bebaru virus","Bebaru virus","Viruses","vir",NA,"0","0"
"159",129951,0.000158246627368754,8,8,"S","Human mastadenovirus C","Human mastadenovirus C","Viruses","vir",NA,"人类哺乳动物腺病毒","急性呼吸道疾病（acute respiratory diseases，ARD）这一综合征由咽炎、发热、咳嗽和全身不适为特点，常在军队的新兵中流行，多因突然紧张、劳累、聚集等所致。此感染多由腺病毒4、7型引起，也可见于3型。"
"160",1159195,3.95616568421886e-05,2,2,"S","Southern elephant seal virus","Southern elephant seal virus","Viruses","vir",NA,"0","0"
"161",1412875,1.97808284210943e-05,1,1,"S1","Lactococcus phage phiL47","Audreyjarvisvirus L47","Viruses","vir",NA,"噬菌体","0"
"162",1440170,0.000158246627368754,8,8,"S","Madariaga virus","Madariaga virus","Viruses","vir",NA,"0","0"
"163",1500814,1.97808284210943e-05,1,1,"S1","Propionibacterium phage PHL095N00","Pahexavirus PHL095N00","Viruses","vir",NA,"噬菌体","0"
"164",1500816,3.95616568421886e-05,2,2,"S1","Propionibacterium phage PHL116M00","Pahexavirus PHL116M00","Viruses","vir",NA,"噬菌体","0"
"165",1655012,1.97808284210943e-05,1,1,"S1","Propionibacterium phage Attacne","Pahexavirus attacne","Viruses","vir",NA,"噬菌体","0"
"166",1655023,1.97808284210943e-05,1,1,"S1","Propionibacterium phage Wizzo","Pahexavirus wizzo","Viruses","vir",NA,"噬菌体","0"
"167",1977402,0,7,0,"S","Inovirus M13","Inovirus M13","Viruses",NA,NA,NA,NA
"168",1982254,0,1,0,"S","Pahexavirus attacne","Pahexavirus attacne","Viruses",NA,NA,NA,NA
"169",1982283,0,1,0,"S","Pahexavirus PHL095N00","Pahexavirus PHL095N00","Viruses",NA,NA,NA,NA
"170",1982288,0,2,0,"S","Pahexavirus PHL116M00","Pahexavirus PHL116M00","Viruses",NA,NA,NA,NA
"171",1982308,0,1,0,"S","Pahexavirus wizzo","Pahexavirus wizzo","Viruses",NA,NA,NA,NA
"172",1985738,0,6,0,"S","Teseptimavirus T7","Teseptimavirus T7","Viruses",NA,NA,NA,NA
"173",2169701,5.93424852632828e-05,3,3,"S","Onyong-nyong virus","Onyong-nyong virus","Viruses","vir",NA,"0","0"
"174",2170233,0,1,0,"S","Saccharomyces cerevisiae virus LBCLa","Saccharomyces cerevisiae virus LBCLa","Viruses",NA,NA,NA,NA
"175",2776820,5.93424852632828e-05,3,3,"S1","Erwinia phage PEar6","Lineavirus pear","Viruses",NA,NA,NA,NA
"176",2845480,0,1,0,"S","Audreyjarvisvirus L47","Audreyjarvisvirus L47","Viruses",NA,NA,NA,NA
"177",2847073,3.95616568421886e-05,2,2,"S1","Escherichia phage fd","Inovirus M13","Viruses",NA,NA,NA,NA
"178",2956124,0,3,0,"S","Lineavirus pear","Lineavirus pear","Viruses",NA,NA,NA,NA
"179",2970490,1.97808284210943e-05,1,1,"S","Xanthomonas phage vB_Xar_IVIA-DoCa1","Xanthomonas phage vB_Xar_IVIA-DoCa1","Viruses",NA,NA,NA,NA
